Name,Description,Cost Price (Exc. Tax),Tax Rate,Cost Price (Inc. Tax),Sale Price (Inc. Tax),Variable Price,Margin %,Tax Exempt/ EBT Eligible,Recommended Retail Price (RRP),Barcode,Category,Product Type,Tare Weight,
Quinoa flakes,Quinoa flakes,0.00450,NoTax,0.00450,0.00930,False,51.6100,False,0,,cereal,Standard,,
Mulled wine premix,Mulled wine premix,1.00000,NoTax,1.00000,2.25000,False,55.5600,False,0,,Gift sets,Standard,,
Cayenne pepper,Cayenne pepper,0.00700,NoTax,0.00700,0.01000,False,30.0000,False,0,,spices,Standard,,
Hot spice sauce,Hot spice sauce,4.00000,NoTax,4.00000,6.00000,False,33.3300,False,0,,baking,Standard,,
Hemp seeds hulled,Hemp seeds hulled,0.01200,NoTax,0.01200,0.02000,False,40.0000,False,0,,nuts & seeds,Standard,,
Three colour quinoa,Three colour quinoa,0.00500,NoTax,0.00500,0.01000,False,50.0000,False,0,,grains & beans ,Standard,,
Brazil nuts,Brazil nuts,0.01000,NoTax,0.01000,0.02000,False,50.0000,False,0,,nuts & seeds,Standard,,
Dishwasher salt,Dishwasher salt,0.00150,NoTax,0.00150,0.00220,False,31.8200,False,0,,washing,Standard,,
Denntabs fluoride tin,Denttabs,2.80000,NoTax,2.80000,5.60000,False,50.0000,False,0,,Dental,Standard,,
Cherries,Cherries,0.01000,NoTax,0.01000,0.02000,False,50.0000,False,0,,fruit,Standard,,
Dates whole,Dates whole,0.00400,NoTax,0.00400,0.00800,False,50.0000,False,0,,fruit,Standard,,
Pearl barley organic,Pearl barley organic,0.00160,NoTax,0.00160,0.00320,False,50.0000,False,0,,grains & beans ,Standard,,
Special soap,Special soap,1.40000,NoTax,1.40000,2.80000,False,50.0000,False,0,,bathroom,Standard,,
Gift tags,Gift tags,0.00000,NoTax,0.00000,0.25000,False,100.0000,False,0,,Books,Standard,,
Gift tag x5,Gift tag x5,0.50000,NoTax,0.50000,1.00000,False,50.0000,False,0,,Books,Standard,,
Roller calm,Roller calm,3.00000,NoTax,3.00000,6.00000,False,50.0000,False,0,,bathroom,Standard,,
Paper tape,Paper tags,0.90000,NoTax,0.90000,4.00000,False,77.5000,False,0,,Books,Standard,,
Brown paper,Brown paper,0.50000,NoTax,0.50000,1.00000,False,50.0000,False,0,,Books,Standard,,
Crochet cotton cloths,Crochet cotton cloths,4.00000,NoTax,4.00000,5.00000,False,20.0000,False,0,,bathroom,Standard,,
Cake,Bliss bar,0.50000,NoTax,0.50000,1.00000,False,50.0000,False,0,,Snacks,Standard,,
Cranberries,Cranberries,0.00600,NoTax,0.00600,0.01200,False,50.0000,False,0,,fruit,Standard,,
Bread,Bread,2.50000,NoTax,2.50000,3.50000,False,28.5700,False,0,,Snacks,Standard,,
Cocoa powder,Cocoa powder,0.00900,NoTax,0.00900,0.02000,False,55.0000,False,0,,baking,Standard,,
Face pads in glass jar ,Face pads in glass jar ,7.50000,NoTax,7.50000,12.00000,False,37.5000,False,0,,bathroom,Standard,,
Thai sweet chilli,Thai sweet chilli,2.00000,NoTax,2.00000,4.00000,False,50.0000,False,0,,baking,Standard,,
chilly food pot,chilly food pot,12.50000,NoTax,12.50000,25.00000,False,50.0000,False,0,,chilly,Standard,,
carabiner,carabiner,1.50000,NoTax,1.50000,3.00000,False,50.0000,False,0,,chilly,Standard,,
Beauty kubes conditioner,Beauty kubes conditioner,6.00000,NoTax,6.00000,12.00000,False,50.0000,False,0,,Hair,Standard,,
Beauty kubes face cream ,Beauty kubes face cream ,6.00000,NoTax,6.00000,12.00000,False,50.0000,False,0,,bathroom,Standard,,
Beauty cream body cream,Beauty cream body cream,5.00000,NoTax,5.00000,10.00000,False,50.0000,False,0,,bathroom,Standard,,
