Name,Description,Cost Price (Exc. Tax),Tax Rate,Cost Price (Inc. Tax),Sale Price (Inc. Tax),Variable Price,Margin %,Tax Exempt/ EBT Eligible,Recommended Retail Price (RRP),Barcode,Category,Product Type,Tare Weight,
Konjac sponge,Konjac sponge,3.25000,NoTax,3.25000,8.50000,False,61.7600,False,0,,bathroom,Standard,,
Straw cleaners,Straw cleaners,0.29000,NoTax,0.29000,1.00000,False,71.0000,False,0,,kitchen,Standard,,
Jar large,Jar large,0.00000,NoTax,0.00000,3.50000,False,100.0000,False,0,,bags jars bottles boxes,Standard,,
Jar medium ,Jar medium ,1.00000,NoTax,1.00000,2.70000,False,62.9600,False,0,,bags jars bottles boxes,Standard,,
Jar small,Jar small,0.00000,NoTax,0.00000,1.50000,False,100.0000,False,0,,bags jars bottles boxes,Standard,,
Beauty balm vegan,Beauty balm vegan,2.92000,NoTax,2.92000,8.00000,False,63.5000,False,0,,bathroom,Standard,,
sultanas,sultanas,0.00280,NoTax,0.00280,0.00670,False,58.2100,True,0,,fruit,Standard,,
shampoo SUMA,shampoo suma,0.00290,NoTax,0.00290,0.00700,False,58.5700,False,0,,Hair,Standard,,
conditioner - SUMA,conditioner - SUMA,0.00290,NoTax,0.00290,0.00700,False,58.5700,False,0,,Hair,Standard,,
Large st,Large night,4.50000,NoTax,4.50000,9.00000,False,50.0000,False,0,,Ladies,Standard,,
Medium st,Medium st,4.00000,NoTax,4.00000,8.00000,False,50.0000,False,0,,Ladies,Standard,,
Small st,Small st,3.00000,NoTax,3.00000,6.00000,False,50.0000,False,0,,Ladies,Standard,,
Pourer,Pourer,1.00000,NoTax,1.00000,2.00000,False,50.0000,False,0,,kitchen,Standard,,
Organicup,Organicup,12.00000,NoTax,12.00000,20.00000,False,40.0000,False,0,,Ladies,Standard,,
Dishwasher tabs ,Dishwasher tabs ,0.11600,NoTax,0.11600,0.15000,False,22.6700,False,0,,washing,Standard,,
Dental floss,Dental floss,3.50000,NoTax,3.50000,5.00000,False,30.0000,False,0,,Dental,Standard,,
Book large,Book large,4.00000,NoTax,4.00000,8.00000,False,50.0000,False,0,,Books,Standard,,
Book medium,Book medium,3.00000,NoTax,3.00000,6.00000,False,50.0000,False,0,,Books,Standard,,
Books small,Books small,2.00000,NoTax,2.00000,4.00000,False,50.0000,False,0,,Books,Standard,,
Metal straw,Metal straw,1.00000,NoTax,1.00000,2.00000,False,50.0000,False,0,,kitchen,Standard,,
Lip balm vegan,Lip balm vegan,2.00000,NoTax,2.00000,4.00000,False,50.0000,False,0,,bathroom,Standard,,
Shop of pots,Shop of pots,18.00000,NoTax,18.00000,25.00000,False,28.0000,False,0,,Gift sets,Standard,,
Soap dish wood,Soap dish wood,4.40000,NoTax,4.40000,7.00000,False,37.1400,False,0,,bathroom,Standard,,
Nut bag small,Nut bag small,3.50000,NoTax,3.50000,7.00000,False,50.0000,False,0,,bags jars bottles boxes,Standard,,
Nut bag large,Nut bag large,4.15000,NoTax,4.15000,8.50000,False,51.1800,False,0,,bags jars bottles boxes,Standard,,
Italian mixed herbs,Italian mixed herbs,0.00400,NoTax,0.00400,0.02000,False,80.0000,False,0,,herbs,Standard,,
Pink salt,Pink salt,0.00130,NoTax,0.00130,0.00350,False,62.8600,False,0,,baking,Standard,,
Coffee pods x10,Coffee pods x10,2.10000,NoTax,2.10000,3.50000,False,40.0000,False,0,,coffee /tea ,Standard,,
Shower puff,Puff,3.13000,NoTax,3.13000,6.50000,False,51.8500,False,0,,bathroom,Standard,,
Jalapenos,Jalapenos,0.02500,NoTax,0.02500,0.05000,False,50.0000,False,0,,spices,Standard,,
Garlic powder,Garlic powder,0.00075,NoTax,0.00075,0.01500,False,95.0000,False,0,,spices,Standard,,
Dukkah seeds,Dukkah seeds,0.01000,NoTax,0.01000,0.02000,False,50.0000,False,0,,spices,Standard,,
Fabric conditioner,Fabric conditioner,0.00080,NoTax,0.00080,0.00200,False,60.0000,False,0,,washing,Standard,,
Pecan,Pecan,0.01400,NoTax,0.01400,0.02880,False,51.3900,False,0,,nuts & seeds,Standard,,
Massage candle,Massage candle,5.00000,NoTax,5.00000,10.00000,False,50.0000,False,0,,bathroom,Standard,,
Cork,Cork,0.00000,NoTax,0.00000,0.20000,False,100.0000,False,0,,bags jars bottles boxes,Standard,,
Mini jars,Mini jars,0.00000,NoTax,0.00000,0.50000,False,100.0000,False,0,,bags jars bottles boxes,Standard,,
Carabiner clip,Carabiner clip,1.25000,20VAT,1.50000,3.00000,False,50.0000,False,0,,kitchen,Standard,,
Card,Card,1.00000,NoTax,1.00000,2.00000,False,50.0000,False,0,,Books,Standard,,
Corn flakes,Corn flakes,0.00390,NoTax,0.00390,0.00430,False,9.3000,False,0,,cereal,Standard,,
Nutritional  yeast,Nutritional  yeast,0.01700,NoTax,0.01700,0.03000,False,43.3300,False,0,,baking,Standard,,
mrs midd Oil bottle,Oil bottle,2.70000,NoTax,2.70000,4.00000,False,32.5000,False,0,,baking,Standard,,
Bulgar wheat,Bulgar wheat,0.00250,NoTax,0.00250,0.00500,False,50.0000,False,0,,grains & beans ,Standard,,
Mrs Middleton oil,Mrs Middleton oil,0.00800,NoTax,0.00800,0.01600,False,50.0000,False,0,,baking,Standard,,
Razor bamboo,Razor bamboo,12.50000,NoTax,12.50000,20.00000,False,37.5000,False,0,,bathroom,Standard,,
Bottle pump,Bottle pump,0.50000,NoTax,0.50000,1.00000,False,50.0000,False,0,,bags jars bottles boxes,Standard,,
Linseed golden ,Linseed golden ,0.00320,NoTax,0.00320,0.00640,False,50.0000,False,0,,nuts & seeds,Standard,,
